12345678	TES1	19/01/1987	5200000	62400000	520000	2600000	130000	1170000	140400	702000	60000000	3120
12345679	TES2	20/01/1987	5300000	63600000	530000	2650000	132500	1192500	143100	715500	120000000	3180
12345680	TES3	21/01/1987	5400000	64800000	540000	2700000	135000	1215000	145800	729000	180000000	3240
12345681	TES4	22/01/1987	5500000	66000000	550000	2750000	137500	1237500	148500	742500	240000000	3300
12345682	TES5	23/01/1987	5600000	67200000	560000	2800000	140000	1260000	151200	756000	300000000	3360
12345683	TES6	24/01/1987	5700000	68400000	570000	2850000	142500	1282500	153900	769500	360000000	3420
12345684	TES7	25/01/1987	5800000	69600000	580000	2900000	145000	1305000	156600	783000	420000000	3480
12345685	TES8	26/01/1987	5900000	70800000	590000	2950000	147500	1327500	159300	796500	480000000	3540
12345686	TES9	27/01/1987	6000000	72000000	600000	3000000	150000	1350000	162000	810000	540000000	3600
12345687	TES10	28/01/1987	6100000	73200000	610000	3050000	152500	1372500	164700	823500	600000000	3660
